characters,fa_length,fa_list
K00684,3,"['Pseudomonadota', 'T04021', 'T06523']"
K00943,12,"['Actinomycetota', 'Bacilli', 'Campylobacterales', 'Pseudomonadota', 'T00964', 'T01461', 'T02133', 'T04182', 'T04453', 'T06584', 'T07943', 'T08201']"
K10764,7,"['T00398', 'T00447', 'T05201', 'T05738', 'T06085', 'T06554', 'T06794']"
K06195,2,"['Burkholderiales', 'Gammaproteobacteria']"
K00140,7,"['Burkholderiales', 'Micrococcales', 'T02545', 'T04453', 'T06085', 'T06554', 'T06794']"
K07113,4,"['Gammaproteobacteria', 'Mycobacteriales', 'T02545', 'T06085']"
K00020,14,"['Comamonadaceae', 'Coriobacteriia', 'Dorea', 'Gammaproteobacteria', 'Micrococcales', 'T00398', 'T00925', 'T02545', 'T04453', 'T06085', 'T06584', 'T06719', 'T06794', 'T07267']"
K02825,10,"['Bacilli', 'Burkholderiales', 'Coriobacteriia', 'Micrococcales', 'Mycobacteriales', 'T02545', 'T04453', 'T06554', 'T06584', 'T08201']"
K10804,6,"['Lactobacillus', 'Pseudomonadota', 'T00447', 'T00964', 'T04182', 'T05201']"
K00208,11,"['Bacteroides', 'Campylobacter', 'Comamonadaceae', 'Staphylococcus', 'T00925', 'T02133', 'T04115', 'T05738', 'T06085', 'T06554', 'T08201']"
K01572,0,[]
K07723,1,['Staphylococcus']
K03118,11,"['Bacteroides', 'Campylobacterales', 'Coriobacteriia', 'Micrococcales', 'Mycobacteriales', 'Pseudomonadota', 'Staphylococcus', 'T02133', 'T02545', 'T04453', 'T08201']"
K03579,5,"['Corynebacterium', 'Gammaproteobacteria', 'Micrococcales', 'T02545', 'T06085']"
